DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/03/15 08:41:13,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 08:42:20,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 08:42:49,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 08:45:34,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 08:47:20,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 09:16:10,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 09:26:27,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/03/15 09:32:31,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 09:38:43,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/15 09:45:24,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
