DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/02/27 11:28:11,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/02/27 11:33:27,ACER4738Z-PC,A4F4C2010204,PASS,PASS,--,PASS,FAIL,FAIL,FAIL,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 11:42:14,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 11:46:11,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,FAIL,FAIL,FAIL,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 15:11:09,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 15:11:35,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 15:11:58,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 15:18:31,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/02/27 15:31:02,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,FAIL,FAIL,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/27 16:05:04,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,FAIL,FAIL,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
