DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/03/31 14:33:30,ACER4738Z-PC,A4F4C2909090,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/31 14:45:40,ACER4738Z-PC,A4F4C2909090,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/31 14:54:07,ACER4738Z-PC,A4F4C2909090,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/31 15:17:57,ACER4738Z-PC,A4F4C2909090,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/31 15:24:35,ACER4738Z-PC,A4F4C2909090,PASS,PASS,--,PASS,PASS,PASS,FAIL,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/31 15:45:15,ACER4738Z-PC,A4F4C2909090,PASS,PASS,--,PASS,FAIL,PASS,PASS,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
