DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/05/29 09:18:31,ACER4738Z-PC,A4F4C2909091,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 09:39:23,ACER4738Z-PC,A4F4C2909090,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 09:43:24,ACER4738Z-PC,A4F4C2909090,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/05/29 09:43:52,ACER4738Z-PC,A4F4C2909090,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/05/29 09:45:52,ACER4738Z-PC,A4F4C2909090,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/05/29 09:46:29,ACER4738Z-PC,A4F4C2909090,--,PASS,--,PASS,--,--,--,--,--,--,--,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/05/29 09:48:44,ACER4738Z-PC,A4F4C2909090,--,PASS,--,PASS,--,--,--,--,--,--,--,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/05/29 09:55:17,ACER4738Z-PC,A4F4C2909090,--,PASS,--,PASS,--,--,--,--,PASS,PASS,--,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/05/29 09:57:36,ACER4738Z-PC,A4F4C2909090,--,--,--,--,FAIL,FAIL,PASS,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/05/29 10:20:17,ACER4738Z-PC,A4F4C2909091,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 10:21:43,ACER4738Z-PC,A4F4C2909090,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 10:56:53,ACER4738Z-PC,A4F4C2909091,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 11:01:56,ACER4738Z-PC,A4F4C2909090,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
2018/05/29 11:03:39,ACER4738Z-PC,A4F4C2909090,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,PASS
