DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/02/28 08:37:50,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 08:39:32,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 08:46:04,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 08:47:48,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 08:50:33,ACER4738Z-PC,A4F4C2010203,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 08:54:24,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,FAIL,FAIL,FAIL,PASS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 09:13:36,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/02/28 09:25:05,ACER4738Z-PC,A4F4C2010203,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
