DATETIME,PCNAME,MACADDRESS,UPLOADFW_RESULT,WRITEGPON_RESULT,WRITEWPS_RESULT,WRITEMAC_RESULT,LANPORT1_RESULT,LANPORT2_RESULT,LANPORT3_RESULT,LANPORT4_RESULT,USB2_RESULT,USB3_RESULT,BUTTON_WPS_RESULT,BUTTON_RESET_RESULT,LEDPOWER_RESULT,LEDPON_RESULT,LEDINET_RESULT,LEDWLAN_RESULT,LEDLAN1_RESULT,LEDLAN2_RESULT,LEDLAN3_RESULT,LEDLAN4_RESULT,LEDWPS_RESULT,LEDLOS_RESULT,MESSAGE,TOTAL_RESULT
2018/03/20 15:21:13,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:37:24,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:43:20,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,,FAIL
2018/03/20 15:44:07,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:44:20,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:44:53,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:55:12,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:56:31,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 15:57:41,ACER4738Z-PC,A4F4C2818283,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 16:16:09,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/03/20 16:36:06,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/03/20 17:01:52,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
2018/03/20 17:02:21,ACER4738Z-PC,A4F4C2919293,FAIL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,FAIL
2018/03/20 17:21:52,ACER4738Z-PC,A4F4C2919293,PASS,PASS,--,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,--,PASS
